,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,SCHOOL_ID
33,Lillian,GIORDANO,1999-05-20,Girl,White,DENA,GIORDANO,2390 Luke Lane,Cleantown,ST,73401.0,33
34,Nicholas,MORRISSEY,2005-06-13,Boy,White,TYLER,MORRISSEY,328 Whitetail Lane,Cleantown,ST,75207.0,34
35,Maddison,NEUMANN,1998-08-26,Girl,White,OLA,NEUMANN,3129 Alpaca Way,Cleantown,ST,92686.0,35
36,Jacoby,VERDUZCO,2010-10-31,Boy,Hispanic,CLARICE,VERDUZCO,4813 Washburn Street,Cleantown,ST,70346.0,36
37,Emily,CARUSO,2007-04-06,Girl,White,REGINALD,CARUSO,4037 Kincheloe Road,Cleantown,ST,97383.0,37
38,Judah,HANSEN-HARTMAN,2003-10-20,Boy,White,JOLENE,HANSEN-HARTMAN,377 Pheasant Ridge Road,Cleantown,ST,19103.0,38
39,Elizabeth,CARLSON,1998-03-26,Girl,White,ESPERANZA,HEATON,2202 Briarhill Lane,Cleantown,ST,44212.0,39
40,Jamarion,WILLIAMS-BROADNAX,1999-12-26,Boy,Black,ILENE,WILLIAMS-BROADNAX,160 Gandy Street,Cleantown,ST,17102.0,40
41,Lucas,BYRNE,2006-09-13,Boy,White,CANDY,MEYER,3424 Sarah Drive,Cleantown,ST,70629.0,41
42,Erika,GONZALEZ,2006-10-13,Girl,Hispanic,ROSARIO,GONZALEZ,4193 Coolidge Street,Cleantown,ST,59030.0,42
43,Layla,GRIMM,2009-09-03,Girl,White,DAPHNE,GRIMM,1011 Broadway Street,Cleantown,ST,29461.0,43
44,Haven,SCHROEDER,2004-08-22,Girl,White,MILTON,BOUCHARD,406 Lucky Duck Drive,Cleantown,ST,15219.0,44
45,Peyton,FUCHS,2000-07-26,Girl,White,ILA,FUCHS,2975 Palmer Road,Cleantown,ST,43017.0,45
46,Dalia,DU,2005-01-21,Girl,AAPI,ROSANNE,DU,3002 Mcwhorter Road,Cleantown,ST,39201.0,46
47,Olivia,MCKENNA,2007-01-28,Girl,White,LATISHA,MCKENNA,2443 Forest Avenue,Cleantown,ST,19034.0,47
48,Aidyn,TRAN,2004-07-04,Boy,AAPI,SIDNEY,TRAN,1063 Abia Martin Drive,Cleantown,ST,10013.0,48
49,Sharon,DORSEY,2002-06-25,Girl,Black,TOMMIE,STARKS,3853 Reeves Street,Cleantown,ST,54204.0,49
50,Ethan,HIRSCH,2004-09-07,Boy,White,LILLY,HIRSCH,2264 Park Street,Cleantown,ST,94612.0,50
51,Juan,SHEA,2000-05-15,Boy,White,BRETT,SHEA,3030 Freedom Lane,Cleantown,ST,95202.0,51
52,Brenna,WARE,2007-06-26,Girl,Black,ILENE,WARE,4276 Frank Avenue,Cleantown,ST,1103.0,52
53,Dwayne,COLEMAN,2001-04-12,Boy,Black,MIA,COLEMAN,364 Dane Street,Cleantown,ST,97058.0,53
54,Rachel,CLINE,2001-06-18,Girl,White,MARISA,CLINE,2197 Fittro Street,Cleantown,ST,72051.0,54
55,Emmitt,PUENTES,2004-04-08,Boy,Hispanic,SHANNA,PUENTES,2902 Swick Hill Street,Cleantown,ST,77853.0,55
56,Ava,WELLER,2005-09-25,Girl,White,BETTYE,WELLER,3313 Gnatty Creek Road,Cleantown,ST,11001.0,56
57,Dilan,WILLIAMS,2007-12-26,Boy,Black,DWAYNE,MCNEAL,4677 Dogwood Lane,Cleantown,ST,85653.0,57
58,Jeremiah,LEHMAN,2009-11-21,Boy,White,CHARITY,LEHMAN,4676 Goldcliff Circle,Cleantown,ST,20011.0,58
59,Eliana,WHALEN-HARMAN,1999-07-01,Girl,White,GREG,WHALEN-HARMAN,915 Benson Park Drive,Cleantown,ST,73109.0,59
60,Katalina,THREATT,2002-05-10,Girl,Black,BERNADINE,THREATT,1397 Adams Drive,Cleantown,ST,77002.0,60
61,Olivia,CAUDILL,2006-07-02,Girl,White,RICARDO,CAUDILL,893 Michigan Avenue,Cleantown,ST,97205.0,61
62,Ellison,EPPS,2002-03-11,Girl,Black,DWAYNE,BLACKMON,246 Carolyns Circle,Cleantown,ST,75204.0,62
63,Chace,WERITO,1999-06-23,Boy,Native,DIONNE,WERITO,4894 Emeral Dreams Drive,Cleantown,ST,60424.0,63
64,Kayden,ARNDT-BUSCH,2005-04-24,Boy,White,LESLEY,ARNDT-BUSCH,965 Dog Hill Lane,Cleantown,ST,66044.0,64
65,Anniston,POINTER,2000-04-29,Girl,Black,LOUISA,POINTER,2643 Trouser Leg Road,Cleantown,ST,1103.0,65
66,Colt,LUTZ,1998-11-23,Boy,White,LATONYA,LUTZ,2296 Stoney Lonesome Road,Cleantown,ST,17701.0,66
67,Annabell,YUAN,2007-02-25,Girl,AAPI,MARIETTA,YUAN,3222 Elkview Drive,Cleantown,ST,33457.0,67
68,Holden,MCDONOUGH,2007-08-19,Boy,White,JERI,MCDONOUGH,4982 Delaware Avenue,Cleantown,ST,94115.0,68
69,Briley,POWE,2005-10-05,Girl,Black,SUZETTE,POWE,1607 Patterson Street,Cleantown,ST,77478.0,69
70,Azaria,QIN-TRAN,2008-02-23,Girl,AAPI,SHEREE,PHAM,2203 Trails End Road,Cleantown,ST,33179.0,70
71,Matthew,SWARTZ,2008-11-18,Boy,White,SHANE,SWARTZ,1295 Shingleton Road,Cleantown,ST,49503.0,71
72,Kelly,SCHROEDER,1998-04-01,Girl,White,CHERIE,SCHROEDER,936 Grant View Drive,Cleantown,ST,53130.0,72
73,Delaney,HARTMAN,2007-07-24,Girl,White,DEAN,BAUGHMAN,2113 Turkey Pen Road,Cleantown,ST,10016.0,73
74,Angelina,BERNSTEIN,2005-04-29,Girl,White,RICARDO,STEIN,4719 Leverton Cove Road,Cleantown,ST,1103.0,74
75,Owen,ROTH,1998-08-31,Boy,White,CONCEPCION,ROTH,868 Blair Court,Cleantown,ST,65237.0,75
76,Noah,KRAMER,2007-08-09,Boy,White,JACLYN,KRAMER,2224 West Side Avenue,Cleantown,ST,8901.0,76
77,Alexis,KNAPP,1999-05-10,Girl,White,ABBY,KNAPP,971 Still Street,Cleantown,ST,43604.0,77
78,Kareem,COLBERT,2006-05-23,Boy,Black,KARL,WINSTON,841 Glenwood Avenue,Cleantown,ST,44132.0,78
79,Oliver,LUND,1999-11-21,Boy,White,BEATRIZ,LUND,4880 Bell Street,Cleantown,ST,10019.0,79
80,Brooks,BRENNAN,2004-11-26,Boy,White,MARGO,SCHROEDER,1376 Long Street,Cleantown,ST,32711.0,80
81,Carter,KOENIG,2009-09-02,Boy,White,BETTE,KOENIG,1946 Abner Road,Cleantown,ST,54501.0,81
82,Evangeline,SCHUMACHER,2001-08-20,Girl,White,THERESE,SCHUMACHER,829 Marion Drive,Cleantown,ST,33619.0,82
83,Layla,BLOOM,2001-07-04,Girl,White,LILY,BLOOM,1550 Jarvis Street,Cleantown,ST,14202.0,83
84,Amy,KOCH,2003-01-26,Girl,White,FRIEDA,KOCH,4058 Nutters Barn Lane,Cleantown,ST,50266.0,84
85,Emily,REICH,2003-09-01,Girl,White,MAURICE,REICH,2419 Monroe Street,Cleantown,ST,77002.0,85
86,Liana,JIMENEZ,1998-06-12,Girl,Hispanic,LATONYA,JIMENEZ,4056 Poplar Chase Lane,Cleantown,ST,83617.0,86
87,Maurice,QUINTERO,2001-04-09,Boy,Hispanic,MATILDA,BARRAGAN,4954 Emily Renzelli Boulevard,Cleantown,ST,93901.0,87
88,Jolie,MCNEAL,2008-04-29,Girl,Black,TED,GIVENS,4837 Watson Street,Cleantown,ST,8005.0,88
89,Wilson,JIMENEZ,2007-08-14,Boy,Hispanic,MINERVA,JIMENEZ,2254 Arrowood Drive,Cleantown,ST,32216.0,89
90,Titan,WILLIAMS,2007-06-24,Boy,Black,AVA,WILLIAMS,2003 Adamsville Road,Cleantown,ST,78550.0,90
91,Ciara,BAHENA,2004-03-24,Girl,Hispanic,THERESE,BAHENA,1508 Kennedy Court,Cleantown,ST,2081.0,91
92,Fabian,JACOBSON,1998-10-16,Boy,White,JEANINE,WALSH,2351 Rainbow Drive,Cleantown,ST,44406.0,92
93,Adriel,DENNEY,2003-05-02,Boy,White,ELNORA,MATTINGLY,2705 Walkers Ridge Way,Cleantown,ST,60062.0,93
94,Nolan,GOLDSTEIN,2002-07-19,Boy,White,MAYRA,GOLDSTEIN,1733 Garrett Street,Cleantown,ST,49503.0,94
95,Sofia,FRANTZ,1999-11-19,Girl,White,RAMON,FRANTZ,1783 Griffin Street,Cleantown,ST,85012.0,95
96,Mohamed,SPRAGUE,2004-07-13,Boy,White,ROSETTA,SPRAGUE,3103 Willow Oaks Lane,Cleantown,ST,70501.0,96
97,Eden,FERRARA,1998-04-06,Girl,White,LACEY,FERRARA,4874 John Calvin Drive,Cleantown,ST,60162.0,97
98,Landry,NGUYEN,2003-08-10,Girl,AAPI,AISHA,PATEL,4038 Hickory Lane,Cleantown,ST,20024.0,98
99,Christopher,MCKENNA,2003-05-05,Boy,White,JEANINE,MCKENNA,3342 Lake Floyd Circle,Cleantown,ST,20200.0,99
100,Braydon,KLEIN,2003-05-18,Boy,White,LEANN,KLEIN,3626 Hog Camp Road,Cleantown,ST,60090.0,100
101,Judson,NGUYEN,2004-10-19,Boy,AAPI,JULIAN,SONG,1902 Fowler Avenue,Cleantown,ST,47374.0,101
102,Wren,RUELAS,1999-01-23,Girl,Hispanic,MARISOL,RUELAS,1305 Blackwell Street,Cleantown,ST,99515.0,102
103,Aurelia,SAMUEL-RICKS,2001-03-26,Girl,Black,MELISA,SAMUEL-RICKS,1301 Atha Drive,Cleantown,ST,93301.0,103
104,Zane,MUELLER,2003-10-25,Boy,White,ROBBIE,MUELLER,3020 Romines Mill Road,Cleantown,ST,75202.0,104
105,Lochlan,CHAU,2010-10-27,Boy,AAPI,CARISSA,CHAU,4927 Cooks Mine Road,Cleantown,ST,88260.0,105
106,Vincent,STERN,2009-06-27,Boy,White,ROBBIE,STERN,1994 Heavner Court,Cleantown,ST,10016.0,106
107,Lara,WILLIAMS,2007-01-16,Girl,Black,CHRISTIAN,WILLIAMS,1489 Doctors Drive,Cleantown,ST,90025.0,107
108,Chase,BAUMANN,2003-05-15,Boy,White,CORNELIA,BAUMANN,4022 Green Avenue,Cleantown,ST,94545.0,108
109,Olivia,WEBER,2009-01-07,Girl,White,LACEY,WEBER,2662 Upland Avenue,Cleantown,ST,43315.0,109
110,Cole,SEAMAN,2002-07-08,Boy,White,IMOGENE,ROARK,877 Hill Haven Drive,Cleantown,ST,98161.0,110
111,Braelynn,ZIMMERMAN,2008-12-23,Girl,White,MITCHELL,ZIMMERMAN,1125 Finwood Road,Cleantown,ST,7071.0,111
112,Casey,DEBERRY,2007-07-31,Girl,Black,JAVIER,DEBERRY,4656 Woodstock Drive,Cleantown,ST,91731.0,112
113,Byron,ESPARZA,2008-04-25,Boy,Hispanic,LORIE,COVARRUBIAS,3503 Lynn Ogden Lane,Cleantown,ST,77630.0,113
114,Jaylah,SCHMIDT,2002-11-10,Girl,White,CECIL,GROSSMAN,4936 Hidden Pond Road,Cleantown,ST,37209.0,114
115,Parker,LEDFORD,2002-06-11,Girl,White,CECIL,LEDFORD,614 Emily Drive,Cleantown,ST,29036.0,115
116,Thatcher,WASHINGTON,2001-06-22,Boy,Black,ALISSA,WASHINGTON,393 James Martin Circle,Cleantown,ST,43215.0,116
117,Barbara,MACK,2005-01-10,Girl,Black,SERENA,JACKSON,3685 Poe Lane,Cleantown,ST,66215.0,117
118,Neil,VAZQUEZ,2007-03-15,Boy,Hispanic,ALEXANDRIA,HERNANDEZ,2987 Heavner Court,Cleantown,ST,50315.0,118
119,Isaiah,KRAMER,1999-12-21,Boy,White,ELMER,KRAMER,2675 Horseshoe Lane,Cleantown,ST,19714.0,119
120,Kayden,VOSS,1998-07-06,Boy,White,SIMONE,VOSS,2322 Dawson Drive,Cleantown,ST,72212.0,120
121,Terry,NAJERA,2002-01-30,Boy,Hispanic,DONA,NAJERA,907 Wayside Lane,Cleantown,ST,94606.0,121
122,Grace,COFFMAN,2007-11-11,Girl,White,SHEENA,COFFMAN,2772 Frederick Street,Cleantown,ST,79905.0,122
123,Aniyah,OUELLETTE,2000-05-12,Girl,White,NOLA,OUELLETTE,15 Duncan Avenue,Cleantown,ST,10014.0,123
124,Lauren,HOFFMAN,2009-04-04,Girl,White,GABRIEL,HOFFMAN,4990 Sardis Station,Cleantown,ST,55402.0,124
125,Ronnie,MCGRIFF,2003-09-25,Boy,Black,BENITA,WIGFALL,3259 Whispering Pines Circle,Cleantown,ST,75287.0,125
126,Natalia,HANSEN-HOLM,1998-09-27,Girl,White,MARC,HANSEN-HOLM,1502 Kessla Way,Cleantown,ST,29577.0,126
127,Imani,SCHROEDER,2006-12-24,Girl,White,HERMAN,HENSLEY,3269 Stratford Drive,Cleantown,ST,96819.0,127
128,Nolan,MEYER,2002-08-10,Boy,White,ROLAND,KRAMER,1878 Maple Street,Cleantown,ST,92632.0,128
129,Liam,MESSER,1998-07-07,Boy,White,CHRISTI,SHOEMAKER,2417 Kuhl Avenue,Cleantown,ST,30209.0,129
130,Aubriella,KIM,2002-10-16,Girl,AAPI,VIRGIL,KIM,58 Rainbow Road,Cleantown,ST,91801.0,130
131,Jordan,DEVRIES,2005-09-15,Boy,White,DOROTHEA,DEVRIES,441 Harley Vincent Drive,Cleantown,ST,44046.0,131
132,Alfonso,WILLIAMS,2006-05-22,Boy,Black,ELINOR,WILLIAMS,4269 Turkey Pen Lane,Cleantown,ST,36104.0,132
133,Jeffery,GONZALEZ,2006-02-12,Boy,Hispanic,TONIA,GONZALEZ,4869 Melody Lane,Cleantown,ST,23027.0,133
134,Mason,BLANKENSHIP,2006-03-16,Boy,White,CATHLEEN,BLANKENSHIP,591 Tibbs Avenue,Cleantown,ST,59701.0,134
135,Deshawn,ROLLE,2009-01-16,Boy,Black,LENORE,HOLIDAY,4114 Meadowview Drive,Cleantown,ST,22980.0,135
136,Josue,SIEGEL,2001-06-21,Boy,White,SHANE,SIEGEL,3731 Green Avenue,Cleantown,ST,94536.0,136
137,Rowen,RICKS,1998-12-03,Boy,Black,JAMIE,WASHINGTON,4231 Woodridge Lane,Cleantown,ST,38110.0,137
138,Andrew,SHOEMAKER,2010-10-04,Boy,White,FRANKIE,WOLF,4780 Newton Street,Cleantown,ST,56303.0,138
139,Fisher,ROBINSON,2002-11-05,Boy,Black,SHARRON,JACKSON,83 Park Avenue,Cleantown,ST,95826.0,139
140,Richard,ERICKSON,2000-03-12,Boy,White,SHANA,OLSON,4544 Jerry Dove Drive,Cleantown,ST,29501.0,140
141,Greta,HERNANDEZ,2010-01-14,Girl,Hispanic,GRACIE,HERNANDEZ,4828 Dogwood Road,Cleantown,ST,85012.0,141
142,Dalton,NEFF,2001-03-15,Boy,White,MATILDA,NEFF,699 Stockert Hollow Road,Cleantown,ST,98052.0,142
143,Emma,HAMMER,2010-12-14,Girl,White,COREY,MUELLER,910 Seth Street,Cleantown,ST,78639.0,143
144,Caylee,HERNANDEZ,2009-03-24,Girl,Hispanic,HALEY,HERNANDEZ,3454 Bobcat Drive,Cleantown,ST,20653.0,144
145,Avery,BLANKENSHIP,2003-11-16,Girl,White,ALTA,BLANKENSHIP,3179 Moonlight Drive,Cleantown,ST,8102.0,145
146,Lucian,GONZALEZ,2008-10-10,Boy,Hispanic,CAROLINA,MACIAS,3639 Commerce Boulevard,Cleantown,ST,68102.0,146
147,Meadow,BANKS,1998-02-28,Girl,Black,CORRINE,BANKS,1203 Timberbrook Lane,Cleantown,ST,81643.0,147
148,Hailey,CHRISTENSEN,2003-05-08,Girl,White,FAY,CHRISTENSEN,2336 Charter Street,Cleantown,ST,66207.0,148
149,Maxwell,KRUEGER,2008-12-15,Boy,White,ANGEL,KRUEGER,4032 Westfall Avenue,Cleantown,ST,55060.0,149
150,Lola,SCHMITT,2003-11-06,Girl,White,LUPE,WEINSTEIN,4034 Edwards Street,Cleantown,ST,27801.0,150
151,Josiah,DONOHUE,2008-07-11,Boy,White,STEFANIE,DONOHUE,4231 Woodridge Lane,Cleantown,ST,38110.0,151
152,Anthony,KLEIN,2002-02-09,Boy,White,ESTER,FRITZ,1347 Sunset Drive,Cleantown,ST,71602.0,152
153,Ishaan,ROBINSON,2000-11-14,Boy,Black,MILAGROS,ROBINSON,63 Bernardo Street,Cleantown,ST,47610.0,153
154,Odin,PETERSEN,2010-02-16,Boy,White,DERRICK,KLINE,612 Elk Rd Little,Cleantown,ST,85701.0,154
155,Nicole,HANSEN,2002-07-31,Girl,White,CLARICE,MUELLER,3724 Boundary Street,Cleantown,ST,32246.0,155
156,Lily,BRAUN,2007-03-13,Girl,White,GABRIELLE,BRAUN,688 Waterview Lane,Cleantown,ST,87501.0,156
157,Emily,BRAUN,2001-02-04,Girl,White,JOLENE,BRAUN,3145 Oxford Court,Cleantown,ST,39701.0,157
158,Cole,MUELLER,2005-10-23,Boy,White,TERRIE,SHOEMAKER,773 Edington Drive,Cleantown,ST,30093.0,158
159,Zachary,SHOEMAKER,2010-01-01,Boy,White,PAIGE,SHOEMAKER,2992 Kemper Lane,Cleantown,ST,84119.0,159
160,Brynlee,VITALE,2007-02-24,Girl,White,DUANE,VITALE,3231 White Oak Drive,Cleantown,ST,64052.0,160
161,Sophia,TACKETT,1999-02-03,Girl,White,MEAGAN,TACKETT,2314 Carter Street,Cleantown,ST,62801.0,161
162,Charles,MCGOVERN-HENSLEY,2002-11-16,Boy,White,ELMA,MCGOVERN-HENSLEY,2685 Hornor Avenue,Cleantown,ST,74146.0,162
163,Kai,THAYER,2004-03-14,Boy,White,CLAUDETTE,KAPLAN,3473 Church Street,Cleantown,ST,10013.0,163
164,Jeremiah,KRUSE,2005-11-16,Boy,White,DOROTHEA,KRUSE,2498 Ward Road,Cleantown,ST,79912.0,164
165,Mya,KOHLER,2005-01-20,Girl,White,LACEY,WEBER,2232 Wood Street,Cleantown,ST,70139.0,165
166,Layla,BRENNAN,2001-04-01,Girl,White,DINA,RINEHART,1887 American Drive,Cleantown,ST,32301.0,166
167,Nevaeh,WOLF,2007-05-11,Girl,White,ALTA,WOLF,2579 Tuna Street,Cleantown,ST,48302.0,167
168,Rebecca,NAGEL,2010-11-17,Girl,White,BIANCA,NAGEL,4255 Fairway Drive,Cleantown,ST,94520.0,168
169,Gianna,HANSEN,2008-08-05,Girl,White,ERICKA,SPRAGUE,741 Carolyns Circle,Cleantown,ST,75247.0,169
170,Maya,ANDERSEN,2008-01-05,Girl,White,IVY,ANDERSEN,4286 Glenview Drive,Cleantown,ST,78476.0,170
171,Jacob,HESS-OBRIEN,2008-06-25,Boy,White,THERESE,SCHROEDER,4796 Beeghley Street,Cleantown,ST,76661.0,171
172,Serenity,WEBER,2005-03-01,Girl,White,CAROLINA,GIORDANO,863 Oakway Lane,Cleantown,ST,91204.0,172
173,Henry,KAUFMAN,2009-12-27,Boy,White,PEDRO,KAUFMAN,1502 Ferrell Street,Cleantown,ST,55722.0,173
174,London,RUSSO,2001-02-17,Girl,White,GORDON,RUSSO,157 Cityview Drive,Cleantown,ST,19010.0,174
175,Jasmine,CHRISTIANSEN,2010-06-22,Girl,White,BRENT,CHRISTIANSEN,375 Highland Drive,Cleantown,ST,54911.0,175
176,Lillian,GOETZ,2005-07-22,Girl,White,ESTELA,GOETZ,3129 Alpaca Way,Cleantown,ST,92686.0,176
177,Antonia,HAN,2010-12-19,Girl,AAPI,ROSELLA,HAN,856 Lauren Drive,Cleantown,ST,53718.0,177
178,Blaise,LAMPKIN,2007-04-02,Boy,Black,MARI,LAMPKIN,2725 Steve Hunt Road,Cleantown,ST,33169.0,178
179,Penny,COLEMAN,1998-05-29,Girl,Black,OPHELIA,COLEMAN,1951 Dovetail Drive,Cleantown,ST,60016.0,179
180,Bella,ZIMMERMAN,2000-12-13,Girl,White,JORGE,ZIMMERMAN,3083 Hickory Heights Drive,Cleantown,ST,21045.0,180
181,Marcel,GAINES,2002-12-01,Boy,Black,ESMERALDA,GAINES,229 Robinson Lane,Cleantown,ST,45662.0,181
182,Deborah,WILLIAMS,2003-01-08,Girl,Black,JORDAN,WILLIAMS,2537 Johnny Lane,Cleantown,ST,53151.0,182
183,Allie,WOLF,1999-01-24,Girl,White,ELMER,WOLF,4328 Khale Street,Cleantown,ST,29501.0,183
184,Christian,HANSEN,1998-10-08,Boy,White,TRUDY,HANSEN,2318 Stuart Street,Cleantown,ST,15219.0,184
185,Shane,BERNSTEIN,2002-09-27,Boy,White,HILARY,OLSON,213 Reppert Coal Road,Cleantown,ST,48075.0,185
186,Patricia,CARDENAS,2008-09-07,Girl,Hispanic,LIDIA,CARDENAS,2245 Olive Street,Cleantown,ST,43602.0,186
187,Samiyah,WASHINGTON,2002-03-27,Girl,Other,HERMINIA,CHOW,2532 Hickory Heights Drive,Cleantown,ST,21208.0,187
188,Ethan,CLEVENGER,1999-06-25,Boy,White,RACHELLE,BAUMANN,105 Bolman Court,Cleantown,ST,61820.0,188
189,Broderick,VU,2004-11-11,Boy,AAPI,MADELYN,VU,1819 Smith Road,Cleantown,ST,30253.0,189
190,Kaeden,WILLIAMS,2006-02-12,Boy,Black,DARRYL,WILLIAMS,859 Forest Avenue,Cleantown,ST,10011.0,190
191,Leo,BOCK,1999-10-30,Boy,White,JAYNE,ALBRECHT,4592 Wakefield Street,Cleantown,ST,19067.0,191
192,Ivanna,HERNANDEZ,2006-10-17,Girl,Hispanic,CLEO,OCHOA,362 Upton Avenue,Cleantown,ST,4863.0,192
193,Jake,MAURER,2000-10-17,Boy,White,ELISE,MAURER,4839 Elk Rd Little,Cleantown,ST,85701.0,193
194,Luke,SCHAEFFER,2004-05-25,Boy,White,ELMA,MADSEN,1899 George Street,Cleantown,ST,34471.0,194
195,Tatum,ESPARZA,2002-06-07,Boy,Hispanic,ROSALYN,ESPARZA,4608 Junkins Avenue,Cleantown,ST,31707.0,195
196,Lydia,OLSON,2002-04-22,Girl,White,MARIBEL,OLSON,583 McDowell Street,Cleantown,ST,37210.0,196
197,Tobias,KAUFMAN,2004-04-29,Boy,White,DALE,KAUFMAN,2619 McKinley Avenue,Cleantown,ST,80112.0,197
198,Sadie,SCHWARTZ,2003-04-11,Girl,White,AILEEN,SCHWARTZ,238 Wiseman Street,Cleantown,ST,37917.0,198
199,Patience,NOSIE,2005-04-14,Girl,Native,EDUARDO,NOSIE,88 Briarhill Lane,Cleantown,ST,44308.0,199
200,Alisha,CAESAR,2007-10-07,Girl,Black,CLAUDINE,CAESAR,167 Trails End Road,Cleantown,ST,33069.0,200
201,Cole,ESPOSITO,2001-06-30,Boy,White,LUPE,ESPOSITO,3063 Heritage Road,Cleantown,ST,93711.0,201
202,Hugh,JACKSON,2005-05-23,Boy,Black,ESMERALDA,JACKSON,2765 McVaney Road,Cleantown,ST,28801.0,202
203,Ella,GROSSMAN-HAMMER,2008-01-10,Girl,White,BETTYE,GROSSMAN-HAMMER,471 Davisson Street,Cleantown,ST,47320.0,203
204,Sage,HERNANDEZ,2004-08-30,Boy,Hispanic,URSULA,HERNANDEZ,2322 Dawson Drive,Cleantown,ST,72212.0,204
205,Karter,DO,2008-01-10,Girl,AAPI,RENE,DO,2519 Lena Lane,Cleantown,ST,39201.0,205
