,First Name,Last Name,DOB,Gender,Selected Race,Guardian First,Guardian Last,Street,City,State,Zip,SCHOOL_ID
76,Zachary,PEDERSON,1998-09-20,Boy,White,JOLENE,PEDERSON,2474 Pin Oak Drive,Oopstown,ST,92705.0,76
77,Emmalynn,ARMSTEAD,2005-12-05,Girl,Black,MATHEW,ARMSTEAD,2430 Rollins Road,Oopstown,ST,68801.0,77
78,Randall,OGLETREE,1998-12-24,Boy,Black,BOB,OGLETREE,1940 Walnut Street,Oopstown,ST,39401.0,78
79,Asher,NAGY,1998-09-11,Boy,White,PETRA,NAGY,1584 Bel Meadow Drive,Oopstown,ST,90017.0,79
80,Rey,WILLIAMS,2007-01-30,Boy,Black,REVA,WILLIAMS,2659 Farland Street,Oopstown,ST,60154.0,80
81,Logan,RUSSO,2006-04-12,Boy,White,MARTINA,RUSSO,971 Irving Place,Oopstown,ST,63069.0,81
82,Madyson,PANTOJA,2006-12-28,Girl,Hispanic,ELMA,PANTOJA,4166 Columbia Boulevard,Oopstown,ST,21215.0,82
83,Madison,SHAFFER,1999-11-23,Girl,White,MEAGAN,SHAFFER,915 Benson Park Drive,Oopstown,ST,73109.0,83
84,Shiloh,JIMENEZ,2005-08-05,Girl,Hispanic,SIMONE,JIMENEZ,2975 Palmer Road,Oopstown,ST,43017.0,84
85,Izabella,SNYDER,2004-10-11,Girl,White,FRANKIE,SNYDER,4717 Khale Street,Oopstown,ST,29488.0,85
86,Camden,TROYER,1999-02-20,Boy,White,GENE,TROYER,656 Grove Avenue,Oopstown,ST,73521.0,86
87,Gustavo,RUSSO,2007-01-17,Boy,White,PATRICA,RUSSO,3067 Edsel Road,Oopstown,ST,91504.0,87
88,Emily,LARSON,2009-11-06,Girl,White,KIRSTEN,LARSON,3280 Irish Lane,Oopstown,ST,53532.0,88
89,Ayden,WEBER,2000-02-07,Boy,White,BARBRA,WEBER,583 Cemetery Street,Oopstown,ST,77098.0,89
90,Samson,GALAVIZ,2003-04-28,Boy,Hispanic,JODIE,VALTIERRA,1110 Davisson Street,Oopstown,ST,46120.0,90
91,Bryanna,FRAUSTO,2000-11-27,Girl,Hispanic,MARISOL,FRAUSTO,2396 Byrd Lane,Oopstown,ST,87020.0,91
92,Karlie,SMALLS,2007-03-14,Girl,Black,NOEMI,WILLIAMS,1877 Bloomfield Way,Oopstown,ST,4261.0,92
93,Aubrey,MAYER,1999-12-29,Girl,White,LUISA,SCHROEDER,1445 Scenic Way,Oopstown,ST,61813.0,93
94,Mohammed,HEALY,1999-11-13,Boy,White,LETHA,HEALY,1144 Eagle Drive,Oopstown,ST,48183.0,94
95,Scarlette,LEUNG,2004-12-02,Girl,AAPI,HALLIE,HO,2962 Berry Street,Oopstown,ST,81149.0,95
96,Boden,MOHAMMAD,1999-04-20,Boy,Other,ENRIQUE,MOHAMMAD,719 Raintree Boulevard,Oopstown,ST,55415.0,96
97,Braden,SCHERER,2005-01-15,Boy,White,MAURICE,HANSEN,4926 Broadcast Drive,Oopstown,ST,20005.0,97
98,Sandra,WASHINGTON,2007-05-12,Girl,Black,MADGE,WASHINGTON,2730 Shinn Street,Oopstown,ST,10004.0,98
99,Adrien,ROBINSON,2008-07-29,Boy,Black,JORDAN,ROBINSON,561 Owen Lane,Oopstown,ST,44503.0,99
100,Arianna,BURDICK,2001-11-22,Girl,White,ELMA,BURDICK,4238 Tyler Avenue,Oopstown,ST,33040.0,100
101,Isabelle,BRENNAN,2004-05-15,Girl,White,RUBEN,LUND,4098 Station Street,Oopstown,ST,78756.0,101
102,Rylen,ALI,1998-11-15,Boy,Other,ELBA,OMAR,174 George Avenue,Oopstown,ST,36693.0,102
103,Samson,BARAJAS,1998-07-27,Boy,Hispanic,CATHLEEN,BARAJAS,966 Mount Olive Road,Oopstown,ST,30328.0,103
104,Eleanor,NEFF,2006-02-09,Girl,White,SOCORRO,NEFF,744 Romrog Way,Oopstown,ST,69150.0,104
105,Clinton,NGUY,1998-05-08,Boy,AAPI,VIRGIL,NGUY,3389 Shobe Lane,Oopstown,ST,80654.0,105
106,Myah,NAJERA,2002-07-18,Girl,Hispanic,MARGRET,NAJERA,2846 Public Works Drive,Oopstown,ST,37385.0,106
107,Naomi,LUTZ,2002-09-21,Girl,White,JAMI,BAUMAN,2470 Caynor Circle,Oopstown,ST,7477.0,107
108,Wren,VAZQUEZ,1999-03-19,Girl,Hispanic,BETTE,VAZQUEZ,4256 Thunder Road,Oopstown,ST,94301.0,108
109,Brooklyn,REILLY,2005-06-29,Girl,White,NOLA,REILLY,1039 Glory Road,Oopstown,ST,37040.0,109
110,Ayden,METZ,2005-10-24,Boy,White,MEAGAN,GRAFF,4123 Snyder Avenue,Oopstown,ST,28210.0,110
111,Sadie,HOFFMANN,2008-09-17,Girl,White,ROSETTA,HOFFMANN,3750 Woodland Avenue,Oopstown,ST,70112.0,111
112,Harry,JIMENEZ,2007-03-14,Boy,Hispanic,JOCELYN,ARREDONDO,1526 Derek Drive,Oopstown,ST,44663.0,112
113,Kaeden,JACKSON,2007-08-09,Boy,Black,CLARISSA,JACKSON,884 Boundary Street,Oopstown,ST,32207.0,113
114,Paloma,CHARLESTON,2002-01-30,Girl,Black,ODESSA,MCCRAY,3403 West Side Avenue,Oopstown,ST,7042.0,114
115,Dylan,SCHNEIDER,2004-11-20,Boy,White,KATHARINE,SCHNEIDER,119 Oakwood Circle,Oopstown,ST,92614.0,115
116,Ashton,MCNAMARA,2002-05-31,Boy,White,ARNOLD,MCNAMARA,675 Boring Lane,Oopstown,ST,94108.0,116
117,Van,HEARD,1998-04-30,Boy,Black,SASHA,HEARD,3732 Hannah Street,Oopstown,ST,28655.0,117
118,Julianne,WILLIAMS,2003-07-10,Girl,Black,COLETTE,WILLIAMS,4822 Jim Rosa Lane,Oopstown,ST,94143.0,118
119,Dakota,MAGUIRE,2002-12-23,Girl,White,KEISHA,MAGUIRE,4017 Concord Street,Oopstown,ST,28090.0,119
120,Elliott,KRAUS,2001-01-20,Boy,White,PEDRO,KRAUS,1025 Musgrave Street,Oopstown,ST,73102.0,120
121,Bodhi,PALACIOS,2009-07-18,Boy,Hispanic,GRACIE,PALACIOS,414 Hanover Street,Oopstown,ST,11530.0,121
122,Julie,WAHL,2008-06-02,Girl,White,ANGELINE,SCHMIDT,483 Village View Drive,Oopstown,ST,33912.0,122
123,Ares,WILLIAMS,2001-05-27,Boy,Black,ARLINE,WILLIAMS,604 Bingamon Road,Oopstown,ST,44141.0,123
124,Moises,WEBER,2001-04-16,Boy,White,FRANKIE,WEBER,2897 Kelly Drive,Oopstown,ST,26301.0,124
125,Ximena,LARSEN-HEATON,2007-11-20,Girl,White,MIA,LARSEN-HEATON,388 Whitetail Lane,Oopstown,ST,75253.0,125
126,Camden,CARLSON,2005-10-21,Boy,White,ELMA,CARLSON,4145 Hillcrest Lane,Oopstown,ST,92660.0,126
127,Scarlette,PATEL,2005-06-07,Girl,AAPI,AUGUSTA,LU,4340 Ottis Street,Oopstown,ST,73109.0,127
128,Ryland,SHOEMAKER,1998-10-28,Boy,White,CATHLEEN,WALSH,4097 Kelly Street,Oopstown,ST,28263.0,128
129,Sonia,BAE,2000-03-16,Girl,AAPI,MILLICENT,KIM,1474 Ryder Avenue,Oopstown,ST,98109.0,129
130,Miya,JACKSON,2005-07-18,Girl,Black,TED,JACKSON,4572 Hillcrest Lane,Oopstown,ST,92664.0,130
131,Tripp,RENTERIA-GONZALEZ,1998-04-01,Boy,Hispanic,CHRISTI,RENTERIA-GONZALEZ,4226 Moore Avenue,Oopstown,ST,76104.0,131
132,Amos,GONZALEZ,2001-09-20,Boy,Hispanic,BEN,GONZALEZ,753 Randolph Street,Oopstown,ST,1501.0,132
133,Maverick,FREY,2002-06-21,Boy,White,VERNON,SORENSON,3838 Sycamore Street,Oopstown,ST,95054.0,133
134,Celine,MONTESDEOCA,2008-12-08,Girl,Hispanic,RAFAEL,HERNANDEZ,1771 Callison Lane,Oopstown,ST,19108.0,134
135,Cameron,ACKERMAN,2000-11-15,Boy,White,RACHELLE,CONKLIN,116 Poplar Street,Oopstown,ST,60061.0,135
136,Easton,JACOBSON,2005-07-04,Boy,White,LUPE,CHRISTENSEN,1809 Riverside Drive,Oopstown,ST,30741.0,136
137,Rex,ROSAS,2002-08-03,Boy,Hispanic,PEDRO,ROSAS,3667 Bartlett Avenue,Oopstown,ST,48083.0,137
138,Hadleigh,CALLOWAY,2000-04-05,Girl,Black,CHRYSTAL,CALLOWAY,2041 Oak Avenue,Oopstown,ST,60007.0,138
139,Payton,ESTEP,2009-03-14,Girl,White,BRAD,ESTEP,759 Fort Street,Oopstown,ST,28562.0,139
140,Khalil,GILLILAND,2009-07-22,Boy,White,ZACHARY,GILLILAND,1716 Timbercrest Road,Oopstown,ST,99743.0,140
141,Madelyn,KRAUSE,2002-02-23,Girl,White,RACHELLE,KRAUSE,2749 Wescam Court,Oopstown,ST,89408.0,141
142,Hank,OCHOA,1999-06-26,Boy,Hispanic,ELMA,OCHOA,260 Quiet Valley Lane,Oopstown,ST,91403.0,142
143,Mohammad,SALGADO,2004-09-11,Boy,Hispanic,HELENA,SALGADO,537 Jewell Road,Oopstown,ST,55402.0,143
144,Hope,FUNK,2003-01-13,Girl,White,LORIE,BERG,4466 Callison Lane,Oopstown,ST,97205.0,144
145,Jazlynn,MACIAS,2005-10-30,Girl,Hispanic,WESLEY,MANCILLAS,4016 Hickory Ridge Drive,Oopstown,ST,89109.0,145
146,Jonah,OCONNELL,2003-08-08,Boy,White,CORNELIA,OCONNELL,214 Rhapsody Street,Oopstown,ST,32757.0,146
147,Evelyn,SKAGGS,2003-09-18,Girl,White,LUISA,SKAGGS,4996 Yorkie Lane,Oopstown,ST,31501.0,147
148,Gino,KIM,2004-12-09,Boy,AAPI,ENID,SHEN,1556 Eagles Nest Drive,Oopstown,ST,95814.0,148
149,Thomas,KRUSE,2003-01-08,Boy,White,CHANDRA,KRUSE,1909 Norman Street,Oopstown,ST,90014.0,149
150,Liam,NEFF,2008-01-13,Boy,White,LORNA,NEFF,3958 Lamberts Branch Road,Oopstown,ST,33301.0,150
151,Eleanor,KURTZ,2005-07-16,Girl,White,PEDRO,NIELSEN,4937 Half and Half Drive,Oopstown,ST,93721.0,151
152,Carly,BAUER,2008-06-03,Girl,White,MIA,BAUER,1584 Bel Meadow Drive,Oopstown,ST,90017.0,152
153,Jocelynn,PHAN,2005-12-22,Girl,AAPI,CHRISTIAN,VO,2673 Tavern Place,Oopstown,ST,80205.0,153
154,Anahi,AVALOS,2001-06-17,Girl,Hispanic,CLAUDETTE,AVALOS,3204 White River Way,Oopstown,ST,84104.0,154
155,Jack,SCHAEFFER,2004-09-02,Boy,White,GEORGINA,SCHAEFFER,2013 Steele Street,Oopstown,ST,60187.0,155
156,Elle,CLEVENGER,2001-11-17,Girl,White,FRANKIE,CLEVENGER,4854 Sundown Lane,Oopstown,ST,78659.0,156
157,Memphis,RAMIREZ,2001-06-02,Boy,Hispanic,ARNOLD,RAMIREZ,1397 Barrington Court,Oopstown,ST,72450.0,157
158,Gemma,SHAFER,2009-08-25,Girl,White,DALE,SHAFER,546 Brown Avenue,Oopstown,ST,29669.0,158
159,Finley,NIELSEN,1998-09-09,Girl,White,RAE,NIELSEN,1537 Woodland Avenue,Oopstown,ST,70171.0,159
160,Jacob,OSWALD,1999-02-12,Boy,White,STACI,OSWALD,4327 Carter Street,Oopstown,ST,62434.0,160
161,Messiah,HUBER,1999-10-24,Boy,White,LESLIE,HUBER,1730 Kessla Way,Oopstown,ST,29577.0,161
162,Cristopher,TRAN,2003-03-29,Boy,AAPI,TRACY,TRAN,213 Badger Pond Lane,Oopstown,ST,33610.0,162
163,Monroe,DABNEY,2000-07-31,Girl,Black,YESENIA,DABNEY,1094 College Street,Oopstown,ST,30030.0,163
164,Justice,WINTER-WEINSTEIN,1999-09-25,Girl,White,ISABELLE,HESS,1241 Harrison Street,Oopstown,ST,94909.0,164
165,Sophie,DANIELSON,2008-08-15,Girl,White,DOMINIQUE,DANIELSON,326 Selah Way,Oopstown,ST,5301.0,165
166,Davian,WILLIAMS,2010-01-21,Boy,Black,CLAUDINE,WILLIAMS,2397 Oak Lane,Oopstown,ST,64106.0,166
167,Alfonso,DOZIER,2008-12-24,Boy,Black,SASHA,JACKSON,4463 Lake Road,Oopstown,ST,8109.0,167
168,Omar,PFEIFFER,2000-07-23,Boy,White,ESPERANZA,PFEIFFER,2344 Emeral Dreams Drive,Oopstown,ST,60601.0,168
169,Emersyn,SHULTZ,2010-05-15,Girl,White,FAY,SWENSON,1821 Bottom Lane,Oopstown,ST,14220.0,169
170,Aiyana,AUGUSTE,2001-08-17,Girl,Black,ALEXANDRIA,AUGUSTE,3638 Patton Lane,Oopstown,ST,28202.0,170
171,Brayden,PETERSEN,2007-04-19,Boy,White,VERNON,PETERSEN,4865 Cedar Street,Oopstown,ST,72201.0,171
172,Lylah,CARDENAS,2006-09-22,Girl,Hispanic,ANGEL,CARDENAS,4991 Ocello Street,Oopstown,ST,92117.0,172
173,Olivia,JENSEN,2009-07-08,Girl,White,DEAN,JENSEN,13 Swick Hill Street,Oopstown,ST,77515.0,173
174,Gavin,TROUT,2009-02-01,Boy,White,CHRISTI,OLSON,572 Forest Avenue,Oopstown,ST,10013.0,174
175,Destiny,WINTER,2005-10-07,Girl,White,SHAUNA,WINTER,1295 Hart Country Lane,Oopstown,ST,31901.0,175
176,Scott,SCHULTE,2007-03-08,Boy,White,CATHLEEN,KAMINSKI,1713 Roguski Road,Oopstown,ST,71220.0,176
177,Nicholas,BARNHART,2010-09-09,Boy,White,JANINE,BARNHART,4114 Cottonwood Lane,Oopstown,ST,49503.0,177
178,Sadie,FUCHS,2004-08-21,Girl,White,ROSALYN,ROTH,1886 Fowler Avenue,Oopstown,ST,30071.0,178
179,Marisol,WILLIAMS,2001-08-27,Girl,Black,LENORE,WILLIAMS,3127 Deercove Drive,Oopstown,ST,75142.0,179
180,Amani,VAZQUEZ,2000-10-13,Girl,Hispanic,IMOGENE,URENA,510 Dola Mine Road,Oopstown,ST,27703.0,180
181,Priscilla,PELLETIER-HUMMEL,2005-03-10,Girl,White,LEOLA,GALLAGHER,4977 Jenna Lane,Oopstown,ST,45245.0,181
182,Briley,WILLIAMS,2005-07-19,Girl,Black,KURT,WILLIAMS,4131 Ritter Avenue,Oopstown,ST,48075.0,182
183,Aliya,WILLIAMS-SINGLETARY,2003-06-15,Girl,Black,LORRIE,WILLIAMS-SINGLETARY,1277 Cimmaron Road,Oopstown,ST,92632.0,183
184,Jairo,BOLDEN,2001-08-23,Boy,Black,ASHLEE,BOLDEN,2125 Oakway Lane,Oopstown,ST,92507.0,184
185,Aileen,SCHROEDER,2005-03-26,Girl,White,PETRA,SCHROEDER,774 Patton Lane,Oopstown,ST,27603.0,185
186,Steve,ROBINSON,2010-06-15,Boy,Black,EARLINE,ROBINSON,2455 Cody Ridge Road,Oopstown,ST,73105.0,186
187,Vanessa,BOYLE-HAMMER,2006-12-14,Girl,White,CHESTER,BOYLE-HAMMER,1440 Middleville Road,Oopstown,ST,92805.0,187
188,Arely,HUERTA-RAMIREZ,1999-01-31,Girl,Hispanic,MARISA,HUERTA-RAMIREZ,4864 Nickel Road,Oopstown,ST,90017.0,188
189,Meadow,JEANLOUIS-JOSEPH,2005-10-11,Girl,Black,MARGERY,JEANLOUIS-JOSEPH,3249 Valley Lane,Oopstown,ST,78723.0,189
190,Liberty,MEYER,2003-02-12,Girl,White,RACHELLE,MEYER,4312 Coventry Court,Oopstown,ST,39531.0,190
191,Leo,BRENNAN,2004-03-17,Boy,White,MAURICE,BRENNAN,704 Sugar Camp Road,Oopstown,ST,55402.0,191
192,Giancarlo,JACKSON,2002-09-16,Boy,Black,LIZA,JACKSON,4182 Tenmile Road,Oopstown,ST,1890.0,192
193,Nora,BLANK,2002-02-28,Girl,White,TRUDY,BLANK,2368 Roosevelt Wilson Lane,Oopstown,ST,92407.0,193
194,Roger,BARRAZA,1998-01-09,Boy,Hispanic,LEILA,BARRAZA,4226 Moore Avenue,Oopstown,ST,76104.0,194
195,Misael,WILLIAMS,2008-04-12,Boy,Black,REVA,WILLIAMS,2970 White Oak Drive,Oopstown,ST,64055.0,195
196,Holland,JEAN,2008-08-15,Girl,Black,DARCY,JEAN,4098 Station Street,Oopstown,ST,78756.0,196
197,Kimber,CASTELAN,2000-02-03,Girl,Hispanic,JANINE,CASTELAN,259 Stewart Street,Oopstown,ST,46202.0,197
198,Macey,PATEL,2004-04-12,Girl,AAPI,DEENA,PATEL,1524 Fleming Street,Oopstown,ST,36330.0,198
199,Evelyn,SCHMIDT,2009-03-28,Girl,White,CHARITY,KAISER,2320 Ella Street,Oopstown,ST,94005.0,199
200,Elijah,RASMUSSEN,2005-02-18,Boy,White,MARCY,SNYDER,1397 Adams Drive,Oopstown,ST,77002.0,200
201,Luciano,NAGY,1999-12-22,Boy,White,SUSANNE,DOHERTY,950 Still Pastures Drive,Oopstown,ST,29201.0,201
202,Stephen,SWARTZ,2003-06-23,Boy,White,TRUDY,SWARTZ,411 Park Avenue,Oopstown,ST,95814.0,202
203,Bradley,OLEARY,1999-08-19,Boy,White,RAMON,OLEARY,1281 Trails End Road,Oopstown,ST,33131.0,203
204,Atticus,SCHREIBER,2002-05-23,Boy,White,LEA,SCHREIBER,1110 Hardesty Street,Oopstown,ST,12205.0,204
